;name;average_sentiment;cat_detailed;cat_sites_reduced_more;average_age;average_way_travel;latitud;longitud;address;area;rating;user_age_encoded;way_travel_encoded;sentiment_encoded;destination_encoded;cat_sites_reduced_more_encoded
2062;Can Carreras;curious;urban_route;route and urban routes;old;alone;41,4366104;2,1658271;Carrer de Riba-Roja, 32, 08042 Barcelona, España;Barcelona;0;2;0;3;5;7
2063;El passatge de l'Esperança;curious;historic_building;historic building, museums and archaeological rests;old;in couple;41,4291218;2,1768332;Passatge de l'Esperança, 08016 Barcelona, España;Barcelona;3,897146933;2;1;3;5;1
2064;Jardins Mestre Balcells;artsy;park;town, parks or lookouts;old;in groups;41,4077852;2,1540031;Carrer de Sant Salvador, 73, 08024 Barcelona, España;Barcelona;4;2;2;0;5;2
2065;Espai Jove La Fontana;curious;historic_building;historic building, museums and archaeological rests;young;in family;41,4032771;2,1524681;C/ Gran de Gràcia, 190, 08012 Barcelona, España;Barcelona;4,2;0;3;3;5;1
2066;MUHBA Museu d'Història de Barcelona - Refugi 307;artsy;museum;historic building, museums and archaeological rests;young;alone;41,3714838;2,1666812;C/ Nou de la Rambla, 175, 08004 Barcelona, España;Barcelona;4,5;0;0;0;5;1
2067;Fundació Privada Centre de Producció Artística i Cultural Palo Alto;artsy;museum;historic building, museums and archaeological rests;old;in groups;41,4044;2,2102071;Carrer dels Pellaires, 30 - 38, 08019 Barcelona, España;Barcelona;4,3;2;2;0;5;1
2068;Institut Vila de Gràcia;curious;historic_building;historic building, museums and archaeological rests;adult;alone;41,3986187;2,155375;Carrer de la Riera de Sant Miquel, 58, 62, 08006 Barcelona, España;Barcelona;3,6;1;0;3;5;1
2069;Pavelló de la República;curious;historic_building;historic building, museums and archaeological rests;young;alone;41,4307095;2,1512786;Pabellón de la República Española, Av. del Cardenal Vidal i Barraquer, 08035 Barcelona, España;Barcelona;3,897146933;0;0;3;5;1
2070;Parc Central de Nou Barris;artsy;park;town, parks or lookouts;adult;alone;41,4365386;2,1677429;Plaça Major de Nou Barris, 1, 08042 Barcelona, España;Barcelona;4,3;1;0;0;5;2
2071;Restaurant Can Travi Nou;relax;food;food, music, seaside, sport and others;old;in couple;41,4311764;2,1523997;Carrer de Jorge Manrique, s/n, 08035 Barcelona, España;Barcelona;4,2;2;1;2;5;8
2072;Centre Comercial Maremàgnum;relax;other;food, music, seaside, sport and others;adult;in groups;41,3746496;2,1823721;Moll d'Espanya, 5, 08039 Barcelona, España;Barcelona;4,2;1;2;2;5;8
2073;Portal Casa Miralles;curious;historic_building;historic building, museums and archaeological rests;adult;alone;41,3920053;2,1274603;Passeig de Manuel Girona, 55, 57, 08034 Barcelona, España;Barcelona;4,3;1;0;3;5;1
2074;Centre Cívic Torre Llobeta;relax;other;food, music, seaside, sport and others;old;in couple;41,4268676;2,1740243;Carrer de Santa Fe, 2, 08031 Barcelona, España;Barcelona;4,6;2;1;2;5;8
2075;Museu Marítim de Barcelona;artsy;museum;historic building, museums and archaeological rests;adult;alone;41,3758504;2,1761781;Av. de les Drassanes, 1, 08001 Barcelona, España;Barcelona;4,4;1;0;0;5;1
2076;Parròquia de Sant Genís dels Agudells;history_freak;religious;religious;old;alone;41,4280041;2,1365334;Carrer de Saldes, 3, 08035 Barcelona, España;Barcelona;4,3;2;0;4;5;5
2077;Palau de Congressos *Pavelló 5;artsy;historic_building;historic building, museums and archaeological rests;old;alone;41,3723736;2,151471;Av. de la Reina Maria Cristina, s/n, 08004 Barcelona, España;Barcelona;4,2;2;0;0;5;1
2078;Parc del Poblenou;artsy;park;town, parks or lookouts;old;in groups;41,3971301;2,2073987;08005 Barcelona, España;Barcelona;4,4;2;2;0;5;2
2079;Parc de Diagonal Mar;artsy;park;town, parks or lookouts;young;in couple;41,4083523;2,2133864;Carrer de Llull, 350, 08019 Barcelona, España;Barcelona;4,3;0;1;0;5;2
2080;Museu de Cera de Barcelona;curious;museum;historic building, museums and archaeological rests;adult;in couple;41,3773793;2,1773702;Passatge de la Banca, 7, 08002 Barcelona, España;Barcelona;4,2;1;1;3;5;1
2081;Teatro de los Sentidos;artsy;theater;experiences, cultural centers, theaters and music;adult;in couple;41,3634091;2,1432669;Cami Polvori, 7, 08038 Barcelona, España;Barcelona;4,6;1;1;0;5;4
2082;Centre Cívic Can Basté;artsy;cultural_center;experiences, cultural centers, theaters and music;adult;in groups;41,4304752;2,1730677;Pg. de Fabra i Puig, 274, 276, 08031 Barcelona, España;Barcelona;4,4;1;2;0;5;4
2083;Plaça de la Mercè;history_freak;square;points of interest, like squares and sculptures;old;in family;41,3793811;2,1795016;Plaça de la Mercè, 08002 Barcelona, España;Barcelona;4,214285714;2;3;4;5;3
2084;Casa Elisa Bremon d'Espina;curious;historic_building;historic building, museums and archaeological rests;adult;in family;41,3996322;2,1555833;C/ Gran de Gràcia, 61, 08012 Barcelona, España;Barcelona;5;1;3;3;5;1
2085;Casa Feliu Iglesies;curious;historic_building;historic building, museums and archaeological rests;adult;alone;41,3960253;2,1658621;C/ de Mallorca, 284, 08037 Barcelona, España;Barcelona;0;1;0;3;5;1
2086;Casa Gustà;curious;historic_building;historic building, museums and archaeological rests;old;in couple;41,4104063;2,1600421;Carrer de Ca l'Alegre de Dalt, 72, 08024 Barcelona, España;Barcelona;5;2;1;3;5;1
2087;Casa Rubinat;curious;historic_building;historic building, museums and archaeological rests;young;alone;41,7648587;1,6623098;08259 Fonollosa, Barcelona, España;Barcelona;0;0;0;3;5;1
2088;Roca Barcelona Gallery;artsy;art_gallery;contemporary buildings and art galleries;old;in groups;41,3866844;2,1291821;C/ de Joan Güell, 211, 213, 08028 Barcelona, España;Barcelona;4,5;2;2;0;5;6
2089;Centre Cívic Can Verdaguer;artsy;point_of_interest;points of interest, like squares and sculptures;young;in groups;41,4341056;2,1791832;Carrer de Piferrer, 94, 100, 08016 Barcelona, España;Barcelona;4,5;0;2;0;5;3
2090;La Plaça de Catalunya;history_freak;historic_building;historic building, museums and archaeological rests;adult;in couple;41,3870154;2,1700471;Plaça de Catalunya, 08002 Barcelona, España;Barcelona;4,5;1;1;4;5;1
2091;Memorial de les Dones Represaliades a la Presó de Dones de les Corts;artsy;point_of_interest;points of interest, like squares and sculptures;adult;in family;41,3871506;2,1294028;Carrer d'Europa, 13, B, 08028 Barcelona, España;Barcelona;3,1;1;3;0;5;3
2092;Eix Comercial del Poblenou;history_freak;historic_building;historic building, museums and archaeological rests;young;in couple;41,4026257;2,1999129;C. de Pallars, 224, local, 08005 Barcelona, España;Barcelona;5;0;1;4;5;1
2093;Moll de la Fusta *Escenari Besòs;history_freak;historic_building;historic building, museums and archaeological rests;adult;alone;41,3796026;2,1820142;08039 Barcelona, España;Barcelona;4,5;1;0;4;5;1
2094;Moll de la Fusta *Escenari Llobregat;history_freak;historic_building;historic building, museums and archaeological rests;old;in couple;41,3796026;2,1820142;08039 Barcelona, España;Barcelona;4,5;2;1;4;5;1
2095;Eina - Escola de Disseny i Art;artsy;historic_building;historic building, museums and archaeological rests;adult;in couple;41,402856;2,1143783;Passeig de Santa Eulàlia, 25, 08017 Barcelona, España;Barcelona;3,9;1;1;0;5;1
2096;Hospital Clínic i Provincial;artsy;point_of_interest;points of interest, like squares and sculptures;young;in couple;41,3894185;2,1522074;C. de Villarroel, 170, 08036 Barcelona, España;Barcelona;3,6;0;1;0;5;3
2097;Casa Vilaró;curious;historic_building;historic building, museums and archaeological rests;adult;alone;41,4113399;2,1513704;Av. del Coll del Portell, 67, 08024 Barcelona, España;Barcelona;3,5;1;0;3;5;1
2098;Herboristeria del Rei;artsy;point_of_interest;points of interest, like squares and sculptures;old;alone;41,3806969;2,1750083;C/ del Vidre, 1, 08002 Barcelona, España;Barcelona;4,3;2;0;0;5;3
