id,name,Average_sentiment,Google rating,Level of popularity,Increase of popularity,Cat_detailed,address,zipcode,lat,lng,area,other_city,age,way of travel,Latitud_google,Longitud_google,dirección_google,Latitud,Longitud,Dirección,Rating,Precio
3025,Bilbao,history_freak,,,,archaeological_rest,,,43.25696104658017,-2.923446364418055,Euskadi,Bilbao,young,alone,432630126.0,-29349852.0,"Bilbao, Biscay, Spain",43.2630126,-2.9349852,"Bilbao, Vizcaya, España",N/A,N/A
3026,Gipuzkoa,history_freak,,,,town,,,,,Euskadi,,adult,in groups,430756299.0,-22236667.0,"Gipuzkoa, Spain",43.0756299,-2.2236667,"Gipuzkoa, España",N/A,N/A
3027,Astigarraga,relax,,,,town,,,43.28066802127562,-1.947645730688464,Euskadi,Astigarraga,old,alone,43280929.0,-19484098.0,"20115 Astigarraga, Gipuzkoa, Spain",43.280929,-1.9484098,"20115 Astigarraga, Gipuzkoa, España",N/A,N/A
3028,Salvatierra/Agurain,relax,,,,town,,,,,Euskadi,Arrizala; Agurain/Salvatierra; Egileor; Alangua; Opakua,young,in family,428493348.0,-2388785.0,"01200 Agurain, Ãlava, Spain",42.8493348,-2.388785,"01200 Salvatierra, Álava, España",N/A,N/A
3029,Barakaldo,relax,,,,town,,,,,Euskadi,San Vicente de Barakaldo; Errekatxo/El Regato,young,alone,432969875.0,-29862029.0,"Barakaldo, Biscay, Spain",43.2969875,-2.9862029,"Baracaldo, Vizcaya, España",N/A,N/A
3030,Santurtzi,curious,,,,town,,,,,Euskadi,El Villar | Diseminado; Balparda | Diseminado; Santurtzi,adult,alone,43328128.0,-30336586.0,"Santurtzi, Biscay, Spain",43.328128,-3.0336586,"Santurce, Vizcaya, España",N/A,N/A
3031,Ayala/Aiara,relax,,,,town,,,,,Euskadi,Izoria; Erbi | Diseminado; Luxo/Lujo | Diseminado; Luiaondo; Llanteno; Madaria | Diseminado; Maroño | Diseminado; Menagarai; Menoio; Murga; Ozeka | Diseminado; Olabezar | Diseminado; Quejana/Kexaa | Diseminado; Arespalditza/Respaldiza; Retes de Llanteno;,young,in couple,430753042.0,-30776568.0,"Ayala/Aiara, Ãlava, Spain",43.0753042,-3.0776568,"Ayala, Álava, España",N/A,N/A
3032,Elvillar/Bilar,curious,,,,town,,,42.570497,-2.544915,Euskadi,Elvillar/Bilar,young,in groups,425706068.0,-25433183.0,"01309 Bilar, Ãlava, Spain",42.5706068,-2.5433183,"01309 Elvillar, Álava, España",N/A,N/A
3033,Abadiño,relax,,,,town,,,,,Euskadi,Zelaieta | Abadiño-Zelaieta; Gaztelua | Diseminado; Gerediaga | Diseminado; Traña-Matiena; Mendiola | Diseminado; Muntsaratz; Urkiola | Diseminado,adult,alone,431510298.0,-26112624.0,"48220 AbadiÃ±o, Biscay, Spain",43.1510298,-2.6112624,"48220 Abadiano, Vizcaya, España",N/A,N/A
3034,Alegría-Dulantzi,relax,,,,town,,,,,Euskadi,Egileta; Alegría-Dulantzi,adult,in couple,428410353.0,-25126835.0,"01240 AlegrÃ­a-Dulantzi, Ãlava, Spain",42.8410353,-2.5126835,"01240 Alegría, Álava, España",N/A,N/A
3035,Amurrio,relax,,,,town,,,,,Euskadi,Aloria; Amurrio; Artomaña; Baranbio; Tertanga; Larrinbe | Diseminado; Lekamaña; Lezama | Diseminado; Saratxo | Diseminado; Delika,old,in couple,430518654.0,-30013109.0,"01470 Amurrio, Ãlava, Spain",43.0518654,-3.0013109,"01470 Amurrio, Álava, España",N/A,N/A
3036,Añana,relax,,,,town,,,,,Euskadi,Salinas de Añana/Gesaltza Añana; Atiega/Atiaga | Diseminado,young,alone,428151891.0,-29875565.0,"AÃ±ana, Ãlava, Spain",42.8151891,-2.9875565,"Añana, Álava, España",N/A,N/A
3037,Aramaio,adventurous,,,,town,,,,,Euskadi,Arexola | Diseminado; Azkoaga | Diseminado; Barajuen | Diseminado; Etxaguen | Diseminado; Uribarri | Diseminado; Ibarra; Oleta; Untzilla | Diseminado; Gantzaga | Diseminado,old,alone,430521188.0,-2564711.0,"01160 Aramaio, Ãlava, Spain",43.0521188,-2.564711,"01160 Ibarra, Álava, España",N/A,N/A
3038,Vitoria-Gasteiz,relax,,,,town,,,,,Euskadi,Abetxuko; Zumeltzu; Ehari/Ali; Amarita; Andollu; Antezana/Andetxa | Andetxa/Antezana; Arangiz; Arkauti/Arcaute; Arkaia; Aretxabaleta; Argandoña; Ariñiz/Aríñez; Armentia; Arriaga; Artatza Foronda; Askartza; Asteguieta; Berrostegieta; Betoño; Castillo/Gazte,young,in couple,428531869.0,-26732421.0,"Vitoria-Gasteiz, Ãlava, Spain",42.8531869,-2.6732421,"Vitoria-Gasteiz, Álava, España",N/A,N/A
3039,San Sebastián,adventurous,,,,town,,,,,Euskadi,Añorga; Igeldo; Landarbaso | Diseminado; Donostia / San Sebastián; Zubieta | Diseminado,adult,in couple,43318334.0,-19812313.0,"Donostia-San Sebastian, Gipuzkoa, Spain",43.318334,-1.9812313,"San Sebastián, Gipuzkoa, España",N/A,N/A
3040,Eibar,relax,,,,town,,,,,Euskadi,Aginaga | Diseminado; Arrate | Diseminado; Eibar; Maltzaga | Diseminado,old,in couple,431827331.0,-24814679.0,"Municipality of Eibar, 20600, Gipuzkoa, Spain",43.1827331,-2.4814679,"Éibar, 20600, Gipuzkoa, España",N/A,N/A
3041,Abanto y Ciérvana-Abanto Zierbena,curious,,,,town,,,,,Euskadi,La Balastera; Abanto; Las Calizas | Diseminado; El Campillo; La Florida | Diseminado; Gallarta; Picón | Diseminado; Santa Juliana; Triano; Las Carreras; Los Castaños; Las Cortes | Diseminado; Cotorrio | Diseminado; Murrieta; Putxeta; San Pedro; Sanfuentes,young,in groups,433167276.0,-30842199.0,"48500 Abanto, Biscay, Spain",43.3168794,-3.0876783,"Abanto y Ciérvana, Vizcaya, España",N/A,N/A
3042,Aduna,relax,,,,town,,,43.2037922,-2.0500787,Euskadi,Aduna,young,in family,,,,43.2096275,-2.0518154,"Aduna, Gipuzkoa, España",N/A,N/A
3043,Abaltzisketa,adventurous,,,,town,,,43.0475822,-2.1053881,Euskadi,Abaltzisketa,young,in couple,430484436.0,-21054483.0,"20269 Abaltzisketa, Gipuzkoa, Spain",43.0484436,-2.1054483,"20269 Abalcisqueta, Gipuzkoa, España",N/A,N/A
3044,Armiñón,relax,,,,town,,,,,Euskadi,Estavillo; Armiñón; Lacorzana,young,in couple,427224033.0,-28720511.0,"01220 ArmiÃ±Ã³n, Ãlava, Spain",42.7224033,-2.8720511,"01220 Armiñón, Álava, España",N/A,N/A
3045,Ajangiz,curious,,,,town,,,,,Euskadi,Kanpantxu | Diseminado; Mendieta | Diseminado,young,alone,433033795.0,-26636066.0,"Ajangiz, Biscay, Spain",43.3033795,-2.6636066,"Ajánguiz, Vizcaya, España",N/A,N/A
3046,Alonsotegi,relax,,,,town,,,,,Euskadi,Irauregi; Arbuio; Alonsotegi,old,in groups,432452387.0,-29894319.0,"Alonsotegi, Biscay, Spain",43.2452387,-2.9894319,"Alonsótegui, Vizcaya, España",N/A,N/A
3047,Amorebieta-Etxano,relax,,,,town,,,,,Euskadi,Autzagana | Diseminado; Aldana | Diseminado; Boroa | Diseminado; Etxano | Diseminado; Euba; Bernagoitia | Diseminado; Amorebieta; Astepe | Diseminado,young,in couple,432204714.0,-27330533.0,"Amorebieta-Etxano, Biscay, Spain",43.2204714,-2.7330533,"Amorebieta-Echano, Vizcaya, España",N/A,N/A
3048,Aia,curious,,,,town,,,,,Euskadi,Elkano | Diseminado; Iruretaegia | Diseminado; Laurgain | Diseminado; Olaskoegia | Diseminado; Santio Erreka | Diseminado; Altzola | Diseminado; Arrutiegia | Diseminado; Etxetaballa | Diseminado; Kurpidea | Diseminado; Aia; Andatza; Urdaneta | Diseminado,old,in couple,,,,43.2368999,-2.148555,"20809 Aya, Gipuzkoa, España",N/A,N/A
3049,Aizarnazabal,curious,,,,town,,,,,Euskadi,Aizarnazabal; Etxabe | Diseminado; Etxezarreta | Diseminado; Saiatz | Diseminado,old,alone,432551366.0,-22365821.0,"20749 Aizarnazabal, Gipuzkoa, Spain",43.2551366,-2.2365821,"20749 Aizarnazabal, Gipuzkoa, España",N/A,N/A
3050,Albiztur,relax,,,,town,,,43.1297228,-2.1371801,Euskadi,Albiztur,old,in groups,431288551.0,-21333628.0,"20495 Albiztur, Gipuzkoa, Spain",43.1288551,-2.1333628,"20495 Albístur, Gipuzkoa, España",N/A,N/A
3051,Arraia-Maeztu,relax,,,,town,,,,,Euskadi,Róitegui/Erroitegi; Sabando; Aletxa; Arenaza/Areatza | Diseminado; Cicujano/Zekuiano; Ibisate | Diseminado; Leorza/Elortza; Musitu; Vírgala Mayor / Birgaragoien; Onraita/Erroeta; Maeztu/Maestu; Azazeta; Korres; Vírgala Menor/Birgarabarren | Diseminado; At,old,in couple,4273945.0,-24462181.0,"01120 Maestu, Ãlava, Spain",42.7403135,-2.4406387,"Arraya-Maestu, Álava, España",N/A,N/A
3052,Arrazua-Ubarrundia,adventurous,,,,town,,,,,Euskadi,Nanclares de Ganboa/Langara Ganboa; Mendibil; Luko; Landa; Durana; Ziriano | Diseminado; Betolaza; Arzubiaga | Diseminado; Arroiabe; Ullibarri-Gamboa | Ullíbarri-Gamboa; Zurbano/Zurbao,adult,alone,429412484.0,-26090043.0,"Arratzua-Ubarrundia, Ãlava, Spain",42.9412484,-2.6090043,"Arrazua-Ubarrundia, Álava, España",N/A,N/A
3053,Artziniega,curious,,,,town,,,,,Euskadi,Campijo | Diseminado; Artziniega; Gordeliz | Diseminado; Mendieta | Diseminado; Retes de Tudela/Erretes Tudela; Santa Koloma | Diseminado; Sojoguti/Soxoguti | Diseminado,adult,in family,431205796.0,-31294084.0,"01474 Artziniega, Ãlava, Spain",43.1205796,-3.1294084,"01474 Arceniega, Álava, España",N/A,N/A
3054,Amoroto,relax,,,,town,,,,,Euskadi,Elexalde; Odiaga | Diseminado; Ugaran | Diseminado; Urrutia | Diseminado,adult,in groups,433260444.0,-2514842.0,"Amoroto, Biscay, Spain",43.3260444,-2.514842,"Amoroto, Vizcaya, España",N/A,N/A
3055,Arakaldo,relax,,,,town,,,43.152904,-2.940295,Euskadi,Arakaldo,adult,alone,431528173.0,-29354543.0,"48498 Arakaldo, Biscay, Spain",43.1528173,-2.9354543,"48498 Aracaldo, Vizcaya, España",N/A,N/A
3056,Arantzazu,relax,,,,town,,,,,Euskadi,Olarra | Diseminado; Zelaia; Arantzazugoiti | Diseminado,old,alone,429793458.0,-23977928.0,"Arantzazu, 20567, Gipuzkoa, Spain",42.9793458,-2.3977928,"Aránzazu, 20567, Gipuzkoa, España",N/A,N/A
3057,Alegia,adventurous,,,,town,,,,,Euskadi,Langaurrealdea | Diseminado; Errotaldea; Alegia,young,in family,431021905.0,-21008486.0,"Alegia, Gipuzkoa, Spain",43.098049,-2.0953297,"Alegría, Gipuzkoa, España",N/A,N/A
3058,Alkiza,curious,,,,town,,,43.1724342,-2.1094362,Euskadi,Alkiza,young,in family,431725926.0,-21091283.0,"20494 Alkiza, Gipuzkoa, Spain",43.1725926,-2.1091283,"20494 Alquiza, Gipuzkoa, España",N/A,N/A
3059,Altzaga,relax,,,,town,,,43.06449,-2.153833,Euskadi,Altzaga,old,in family,430645169.0,-21545403.0,"20248 Altzaga, Gipuzkoa, Spain",,,,,
3060,Asparrena,adventurous,,,,town,,,,,Euskadi,Egino; Gordoa; Ibarguren; Ilarduia; Arriola; Araia; Urabain; Ametzaga | Ametzaga; Albeiz/Albéniz; Andoin,adult,alone,428892222.0,-23123031.0,"Asparrena, Ãlava, Spain",42.8892222,-2.3123031,"Aspárrena, Álava, España",N/A,N/A
3061,Baños de Ebro/Mañueta,relax,,,,town,,,42.53029,-2.679144,Euskadi,Baños de Ebro/Mañueta,old,alone,425295215.0,-26789301.0,"01307 BaÃ±os de Ebro, Ãlava, Spain",42.5295215,-2.6789301,"01307 Baños de Ebro, Álava, España",N/A,N/A
3062,Areatza,curious,,,,town,,,,,Euskadi,Uparan | Diseminado; Launtzain | Diseminado; Areatza,adult,in groups,43121255.0,-27697412.0,"Areatza, Biscay, Spain",43.121255,-2.7697412,"Areaza, Vizcaya, España",N/A,N/A
3063,Arrankudiaga,relax,,,,town,,,,,Euskadi,Zollo-Elexalde; Aspiuntza; Zuloaga; Arene; Uribarri,old,in groups,431720817.0,-29194681.0,"48498 Arrankudiaga, Biscay, Spain",43.1720817,-2.9194681,"48498 Arrancudiaga, Vizcaya, España",N/A,N/A
3064,Arratzu,curious,,,,town,,,,,Euskadi,Zabala-Belendiz | Diseminado,old,alone,433137218.0,-26338156.0,"Arratzu, Biscay, Spain",43.3137218,-2.6338156,"Arrazua, Vizcaya, España",N/A,N/A
3065,Altzo,adventurous,,,,town,,,43.1000723,-2.0839046,Euskadi,Altzo,adult,in family,430994843.0,-20830679.0,"20268 Altzo, Gipuzkoa, Spain",43.0994843,-2.0830679,"20268 Alzo, Gipuzkoa, España",N/A,N/A
3066,Amezketa,curious,,,,town,,,,,Euskadi,Ergoiena; Ugarte; Amezketa,old,in family,43047555.0,-20876657.0,"20268 Amezketa, Gipuzkoa, Spain",43.047555,-2.0876657,"20268 Amézqueta, Gipuzkoa, España",N/A,N/A
3067,Andoain,adventurous,,,,town,,,,,Euskadi,Leizotz | Diseminado; Goiburu | Diseminado; Buruntza | Diseminado; Sorabilla; Andoain,old,in groups,432186367.0,-2021197.0,"20140 Andoain, Gipuzkoa, Spain",43.2186367,-2.021197,"20140 Andoáin, Gipuzkoa, España",N/A,N/A
3068,Barrundia,adventurous,,,,town,,,,,Euskadi,Heredia; Gebara; Etura; Elgea | Diseminado; Etxabarri Urtupiña; Dallo; Audikana; Hermua; Barrundia | Diseminado; Ozaeta; Mendixur/Mendíjur; Maturana; Marieta-Larrintzar; Larrea,adult,in groups,428897047.0,-24695471.0,"Barrundia, Ãlava, Spain",42.8897047,-2.4695471,"Barrundia, Álava, España",N/A,N/A
3069,Berantevilla,relax,,,,town,,,,,Euskadi,Lacorzanilla; Lacervilla; Escanzana; Berantevilla; Tobera; Santurde; Santa Cruz del Fierro; Mijancas,adult,in couple,426824479.0,-28583339.0,"01211 Berantevilla, Ãlava, Spain",42.6824479,-2.8583339,"01211 Berantevilla, Álava, España",N/A,N/A
3070,Bernedo,curious,,,,town,,,,,Euskadi,San Román de Campezo/Durruma Kanpezu; Quintana; Okina; Navarrete; Urarte; Urturi; Markinez; Izartza | Diseminado; Berrozi | Diseminado; Villafría; Arluzea; Angostina; Bernedo,old,alone,4262728060000000.0,-24981359.0,"01216 Bernedo, Ãlava, Spain",42.62728060000001,-2.4981359,"01216 Bernedo, Álava, España",N/A,N/A
3071,Arrieta,relax,,,,town,,,,,Euskadi,Olatxua-Olabarri | Diseminado; Libao; Jainko-Oleaga | Diseminado; Agirre | Diseminado,old,in couple,291319688.0,-13462015.0,"35542 Arrieta, Las Palmas, Spain",43.3416751,-2.7689657,"48114 Arrieta, Vizcaya, España",N/A,N/A
3072,Arrigorriaga,relax,,,,town,,,,,Euskadi,Agirre | Diseminado; Arrigorriaga; Martiartu | Diseminado,young,alone,4320974469999990.0,-28888912.0,"48480 Arrigorriaga, Biscay, Spain",43.20974469999999,-2.8888912,"48480 Arrigorriaga, Vizcaya, España",N/A,N/A
3073,Artea,adventurous,,,,town,,,,,Euskadi,Ugarte | Diseminado; Sarasola | Diseminado; Herriko Plaza; Esparta | Diseminado; Elexabeitia | Diseminado; Bildosola | Diseminado,old,in family,,,,43.1324732,-2.7842053,"48142 Artea, Vizcaya, España",N/A,N/A
3074,Anoeta,curious,,,,town,,,43.1614674,-2.0706951,Euskadi,Anoeta,young,in couple,433014018.0,-19735459.0,"1, Anoeta Pasalekua, 20014 Donostia, Gipuzkoa, Spain",43.16213750000001,-2.0707341,"20270 Anoeta, Gipuzkoa, España",N/A,N/A
3075,Antzuola,relax,,,,town,,,43.0994407,-2.3817472,Euskadi,Antzuola,young,in couple,430973325.0,-2380745.0,"20577 Antzuola, Gipuzkoa, Spain",43.0973325,-2.380745,"20577 Antzuola, Gipuzkoa, España",N/A,N/A
3076,Arama,curious,,,,town,,,43.0636373,-2.1655576,Euskadi,Arama,old,in couple,,,,43.0631416,-2.1659336,"20248 Arama, Gipuzkoa, España",N/A,N/A
3077,Campezo/Kanpezu,curious,,,,town,,,,,Euskadi,Orbiso; Bujanda; Antoñana; Oteo; Santa Cruz de Campezo/Santikurutze Kanpezu,young,in groups,4269332379999990.0,-23517526.0,"Campezo/Kanpezu, Ãlava, Spain",42.69332379999999,-2.3517526,"Campezo, Álava, España",N/A,N/A
3078,Elburgo/Burgelu,relax,,,,town,,,,,Euskadi,Añua; Arbulu; Argomaniz; Elburgo/Burgelu; Gazeta; Hijona/Ixona,adult,in family,428496919.0,-25452497.0,"01192 Burgelu, Ãlava, Spain",42.8496919,-2.5452497,"01192 Elburgo, Álava, España",N/A,N/A
3079,Elciego,curious,,,,town,,,42.515072,-2.618277,Euskadi,Elciego,young,in couple,425149608.0,-26185459.0,"01340 Eltziego, Ãlava, Spain",42.5149608,-2.6185459,"01340 Elciego, Álava, España",N/A,N/A
3080,Artzentales,relax,,,,town,,,,,Euskadi,San Miguel de Linares; Santa Cruz; Traslaviña; Gorgolas; Traslosheros,adult,alone,432357466.0,-32281983.0,"Artzentales, 48879, Biscay, Spain",43.2357466,-3.2281983,"Arcentales, 48879, Vizcaya, España",N/A,N/A
3081,Atxondo,relax,,,,town,,,,,Euskadi,Apatamonasterio; Arrazola | Diseminado; Marzana | Diseminado; Olazabal | Diseminado; San Juan | Diseminado; Santiago | Diseminado,young,in family,43131605.0,-25832703.0,"48291 Atxondo, Biscay, Spain",43.131605,-2.5832703,"48291 Axpe Achondo, Vizcaya, España",N/A,N/A
3082,Aulesti,curious,,,,town,,,,,Euskadi,Aulesti; Narea | Diseminado,adult,in couple,4329725639999990.0,-25619215.0,"48380 Aulesti, Biscay, Spain",43.29725639999999,-2.5619215,"48380 Aulestia, Vizcaya, España",N/A,N/A
3083,Aretxabaleta,relax,,,,town,,,,,Euskadi,Aozaratza | Diseminado; Arkarazo | Diseminado; Aretxabaleta; Areantza | Diseminado; Oro | Diseminado; Galartza | Diseminado; Larrino | Diseminado; Izurieta | Diseminado; Goroeta | Diseminado; Apotzagaetxebarri | Diseminado,young,in family,430322579.0,-25037039.0,"20550 Aretxabaleta, Gipuzkoa, Spain",43.0322579,-2.5037039,"20550 Arechavaleta, Gipuzkoa, España",N/A,N/A
3084,Álava,history_freak,,,,town,,,,,Euskadi,,adult,in couple,429099989.0,-26983868.0,"Ãlava, Spain",42.9099989,-2.6983868,"Álava, España",N/A,N/A
3085,Bizkaia,history_freak,,,,town,,,,,Euskadi,,young,in family,432204286.0,-26983868.0,"Biscay, Spain",43.2204286,-2.6983868,"Vizcaya, España",N/A,N/A
3086,Llanada Alavesa,curious,,,,town,,,,,Euskadi,,young,alone,428737995.0,-25792482.0,"Arabako Lautada, Araba, Spain",42.8737995,-2.5792482,"Llanada Alavesa, Álava, España",N/A,N/A
3087,Valles Alaveses,adventurous,,,,town,,,,,Euskadi,,adult,in groups,427861993.0,-29775558.0,"Arabako Ibarrak, Araba, Spain",42.7861993,-2.9775558,"Valles Alaveses, Álava, España",N/A,N/A
3088,Rioja Alavesa,adventurous,,,,town,,,,,Euskadi,,young,in family,425420793.0,-25594214.0,"Rioja Alavesa, Ãlava, Spain",42.5420793,-2.5594214,"Rioja Alavesa, Álava, España",N/A,N/A
3089,Encartaciones,adventurous,,,,town,,,,,Euskadi,,old,alone,432479194.0,-31378173.0,"Enkarterri, Biscay, Spain",43.2479194,-3.1378173,"Encartaciones, Vizcaya, España",N/A,N/A
3090,Goierri,adventurous,,,,town,,,,,Euskadi,,young,in couple,43036041.0,-22630393.0,"Goierri, Gipuzkoa, Spain",43.036041,-2.2630393,"Goyerri, Gipuzkoa, España",N/A,N/A
3091,Arrasate/Mondragón,relax,,,,town,,,,,Euskadi,Bedoña | Diseminado; Garagartza; Gesalibar; Arrasate/Mondragón; Udala | Diseminado; Meatzerreka | Diseminado,adult,in family,430648865.0,-24902081.0,"20500 Arrasate, Gipuzkoa, Spain",43.0648865,-2.4902081,"20500 Mondragón, Gipuzkoa, España",N/A,N/A
3092,Asteasu,relax,,,,town,,,,,Euskadi,Asteasu; Beballara | Diseminado; Elizmendi; Errekaballara | Diseminado; Goiballara | Diseminado; Upazan | Diseminado,adult,alone,4319372010000000.0,-20953297.0,"20159 Asteasu, Gipuzkoa, Spain",43.19372010000001,-2.0953297,"20159 Asteasu, Gipuzkoa, España",N/A,N/A
3093,Harana/Valle de Arana,relax,,,,town,,,,,Euskadi,Ullíbarri-Arana/Uribarri Harana | Ullibarri-Arana/Uribarri Harana; Alda; Kontrasta; San Vicente de Arana/Done Bikendi Harana,young,in family,427527315.0,-23123031.0,"Harana/Valle de Arana, Ãlava, Spain",42.7527315,-2.3123031,"Valle de Arana, Álava, España",N/A,N/A
3094,Iruña Oka /Iruña de Oca,relax,,,,town,,,,,Euskadi,Trespuentes; Ollávarre/Olabarri; Nanclares de la Oca/Langraiz Oka; Víllodas/Billoda; Montevite/Mandaita,young,in couple,42819042.0,-2807789.0,"IruÃ±a Oka, 01230 Nanclares de la Oca, Araba, Spain",42.8192346,-2.8277963,"Iruña de Oca, Álava, España",N/A,N/A
3095,Bakio,adventurous,,,,town,,,,,Euskadi,Artzalde | Diseminado; Goitisoloalde; Zubiaur; Urkitzaur; Gibelorratzagako San Pelaio,old,alone,43427173.0,-28126769.0,"Bakio, Biscay, Spain",43.427173,-2.8126769,"Baquio, Vizcaya, España",N/A,N/A
3096,Ataun,curious,,,,town,,,,,Euskadi,Aia | Diseminado; San Gregorio,adult,in groups,430079526.0,-21775707.0,"20211 Ataun, Gipuzkoa, Spain",43.0079526,-2.1775707,"20211 Ataun, Gipuzkoa, España",N/A,N/A
3097,Balmaseda,curious,,,,town,,,,,Euskadi,Balmaseda; Pandozales | Diseminado; Peñueco | Diseminado,adult,alone,431924561.0,-31986805.0,"48800 Balmaseda, Biscay, Spain",43.1924561,-3.1986805,"48800 Balmaseda, Vizcaya, España",N/A,N/A
3098,Azkoitia,adventurous,,,,town,,,,,Euskadi,Izarraitz | Diseminado; Azkoitia; Arrietamendi | Diseminado; Ormaolamendi | Diseminado,young,in couple,431776439.0,-23109203.0,"20720 Azkoitia, Gipuzkoa, Spain",43.1776439,-2.3109203,"20720 Azcoitia, Gipuzkoa, España",N/A,N/A
3099,Azpeitia,relax,,,,town,,,,,Euskadi,Azpeitia; Urrestilla; Nuarbe; Loiola,old,in family,431825979.0,-22667322.0,"20730 Azpeitia, Gipuzkoa, Spain",43.1825979,-2.2667322,"20730 Azpeitia, Gipuzkoa, España",N/A,N/A
3100,Iruraiz-Gauna,adventurous,,,,town,,,,,Euskadi,Trokoniz; Langarika; Jauregi | Diseminado; Gereñu; Gauna; Azilu; Ezkerekotxa; Erentxun; Arrieta; Alaitza; Gazeo,young,in groups,428117467.0,-2565825.0,"Iruraiz-Gauna, Ãlava, Spain",42.8117467,-2.565825,"Iruraiz-Gauna, Álava, España",N/A,N/A
3101,Beasain,relax,,,,town,,,,,Euskadi,Gudugarreta | Diseminado; Loinatz | Diseminado; Ugartemendi | Diseminado; Beasainmendi | Diseminado; Antzizar | Diseminado; Altamira | Diseminado; Garin; Beasain; Astigarreta; Arriaran; Salbatore; Aratz-Matxinbenta,young,alone,4304477139999990.0,-21996575.0,"Beasain, Gipuzkoa, Spain",43.04477139999999,-2.1996575,"Beasain, Gipuzkoa, España",N/A,N/A
3102,Labastida,adventurous,,,,town,,,,,Euskadi,Labastida/Bastida; Salinillas de Buradón/Gatzaga Buradon,old,in groups,4258993539999990.0,-27956557.0,"01330 Bastida, Ãlava, Spain",42.58993539999999,-2.7956557,"01330 Bastida, Álava, España",N/A,N/A
3103,Laguardia,adventurous,,,,town,,,,,Euskadi,El Campillar; Laguardia; Laserna; Páganos,adult,alone,407769271.0,-738739659.0,"LaGuardia Airport (LGA), Queens, NY 11371, USA",,,,,
3104,Kripan,adventurous,,,,town,,,42.591666,-2.516079,Euskadi,Kripan,adult,alone,425917953.0,-25155009.0,"01308 Kripan, Ãlava, Spain",42.5917953,-2.5155009,"01308 Cripán, Álava, España",N/A,N/A
3105,Kuartango,relax,,,,town,,,,,Euskadi,Zuhatzu Kuartango; Arriano | Diseminado; Urbina Eza | Diseminado; Urbina de Basabe | Diseminado; Uribarri Kuartango | Diseminado; Tortura | Diseminado; Sendadiano; Santa Eulalia; Marinda | Diseminado; Luna; Jokano; Iñurrieta | Diseminado; Guillarte/Gibill,adult,in groups,428851727.0,-29175955.0,"Kuartango, Ãlava, Spain",42.8851727,-2.9175955,"Cuartango, Álava, España",N/A,N/A
3106,Bergara,adventurous,,,,town,,,,,Euskadi,Ubera; Bergara; Elorregi | Diseminado; Osintxu; Elosua | Diseminado; Basalgo | Diseminado; Angiozar,adult,in groups,,,,43.1259269,-2.4232063,"20570 Vergara, Gipuzkoa, España",N/A,N/A
3107,Barrika,curious,,,,town,,,,,Euskadi,Goierri | Diseminado; Elexalde | Diseminado,adult,alone,434067611.0,-29648237.0,"48650 Barrika, Biscay, Spain",43.4067611,-2.9648237,"48650 Barrika, Vizcaya, España",N/A,N/A
3108,Basauri,adventurous,,,,town,,,,,Euskadi,Arizgoiti; Urbi; Elexalde,young,in family,4323527929999990.0,-28912837.0,"Basauri, Biscay, Spain",43.23527929999999,-2.8912837,"Basauri, Vizcaya, España",N/A,N/A
3109,Bedia,adventurous,,,,town,,,,,Euskadi,Barroeta | Diseminado; Eroso-Ugarte; Ereño | Diseminado; Elexalde; Asteitza; Bidekoetxea; Ibarra; Jauregi; Murtatza,old,alone,,,,43.2086175,-2.8020097,"48390 Bedia, Vizcaya, España",N/A,N/A
3110,Llodio/Laudio,relax,,,,town,,,43.14533599787141,-2.965044936523441,Euskadi,Laudio/Llodio,young,in couple,431434506.0,-29579897.0,"Laudio, Ãlava, Spain",43.1434506,-2.9579897,"Llodio, Álava, España",N/A,N/A
3111,Baliarrain,relax,,,,town,,,43.069306,-2.1292347,Euskadi,Baliarrain,old,alone,430695519.0,-21284535.0,"20259 Baliarrain, Gipuzkoa, Spain",43.0695519,-2.1284535,"20259 Baliarrain, Gipuzkoa, España",N/A,N/A
3112,Lagrán,relax,,,,town,,,,,Euskadi,Lagrán; Pipaon; Villaverde,young,in family,426253912.0,-25835865.0,"01118 LagrÃ¡n, Ãlava, Spain",42.6253912,-2.5835865,"01118 Lagrán, Álava, España",N/A,N/A
3113,Berango,adventurous,,,,town,,,,,Euskadi,Berango; Baserri-Santa Ana,young,in groups,43360067.0,-29973977.0,"Berango, Biscay, Spain",43.3534272,-2.9825559,"Berango, Vizcaya, España",N/A,N/A
3114,Deba,adventurous,,,,town,,,,,Euskadi,Lastur; Itziar; Deba,old,in family,43296302.0,-23523692.0,"20820 Deba, Gipuzkoa, Spain",43.296302,-2.3523692,"20820 Deva, Gipuzkoa, España",N/A,N/A
3115,Bermeo,adventurous,,,,town,,,,,Euskadi,Demiku | Diseminado; Bermeo; Artika | Diseminado; Arranotegi | Diseminado; Almika | Diseminado; Agirre; Mañu | Diseminado; Arane-Gibelortzaga | Diseminado; San Migel | Diseminado; San Andres | Diseminado,young,in family,434188248.0,-27269756.0,"48370 Bermeo, Biscay, Spain",43.4188248,-2.7269756,"48370 Bermeo, Vizcaya, España",N/A,N/A
