id,name,Average_sentiment,Google rating,Level of popularity,Increase of popularity,Cat_detailed,address,zipcode,lat,lng,area,other_city,age,way of travel,Latitud_google,Longitud_google,dirección_google,Latitud,Longitud,Dirección,Rating,Precio
4296,Aduana,history_freak,,,,historic_building,"Plaza de los Fueros, 15",48460.0,42.99471699724912,-3.010149466508185,Euskadi,Urduña/Orduña,young,in groups,,,,43.3429675,-1.7583136,"Euskadi Plaza, 4, 20305 Irun, Gipuzkoa, España",3.6,N/A
4297,Ermita de San Marcial,history_freak,,,,historic_building,"Barrio Behobia, 26, Monte San Marcial",20305.0,43.33123399636111,-1.766325831413269,Euskadi,Irun,young,in couple,,,,43.331121,-1.7664623,"Behobia Auzoa, 26, 20305 Irun, Gipuzkoa, España",4.6,N/A
4298,Palacio Urdanibia,history_freak,,,,historic_building,"Avenida Jaizubia, 1 <br/>",20305.0,43.3394097,-1.820212500000025,Euskadi,Irun,adult,in groups,,,,43.3363281,-1.8167108,"Jaizubia Hiribidea, Urdanibia, 20305, Gipuzkoa, España",4.4,N/A
4299,Palacio Zumaia,history_freak,,,,historic_building,"Harategi kalea, 6",20750.0,43.29707790949452,-2.257181038028646,Euskadi,Zumaia,old,in family,432988236.0,-2256885.0,"20750 Zumaia, Gipuzkoa, Spain",43.2970476,-2.2572328,"Harategiko Kalea, 6, 20750 Zumaia, Gipuzkoa, España",2,N/A
4300,Palacio de los Lazcano,history_freak,,,,historic_building,"Calle Elosegi, 30",20210.0,43.03587411471687,-2.187763649351493,Euskadi,Lazkao,young,in groups,,,,43.0358774,-2.187793,"Elosegi Kalea, 23, 20210 Lazkao, Gipuzkoa, España",4.2,N/A
4301,Balneario de Alzola,history_freak,,,,historic_building,Barrio Alzola,20870.0,43.236559,-2.4008,Euskadi,Elgoibar,young,alone,,,,43.235769,-2.4021198,"Bainuetxeko Zumardia Altzola, 1, 20870 Altzola, Gipuzkoa, España",4.8,N/A
4302,Palacio de Foronda,history_freak,,,,historic_building,"Odieta kalea, 2",20750.0,43.29496989999998,-2.259063988954946,Euskadi,Zumaia,young,in family,428990574.0,-27238673.0,"01196 Foronda, Ãlava, Spain",42.8990574,-2.7238673,"01196 Foronda, Álava, España",N/A,N/A
4303,Casa-Torre de Alzola,history_freak,,,,historic_building,"Kalebarren plaza, 3<br/>",20870.0,43.21554829999999,-2.4154233,Euskadi,Elgoibar,young,in couple,,,,,,,,
4304,Parroquia de San Bartolomé,curious,,,,historic_building,Plaza de los Fueros,20870.0,43.21373030254296,-2.416168237295555,Euskadi,Elgoibar,young,in family,373874405.0,-5986680499999990.0,"C. Virgen de la AlegrÃ­a, 5, 41004 Sevilla, Spain",40.37290300000001,-3.715435899999999,"C. de Guetaria, 1, 28041 Madrid, España",4.2,N/A
4305,Ermita de San Lorenzo (Beizama),history_freak,,,,historic_building,Barrio Agiñamendi,20739.0,43.13543928291092,-2.193153202593969,Euskadi,Beizama,young,alone,4313456240000000.0,-21999982.0,"20739 Beizama, Gipuzkoa, Spain",43.1354697,-2.193136,"15a, Aginamendi Auzoa Auzoa, 15A, 20739 Beizama, Gipuzkoa, España",5,N/A
4306,Puente de Anunzibai,history_freak,,,,historic_building,Barrio de Anunzibai<br/>,48410.0,43.14045124738628,-2.93895377063905,Euskadi,Orozko,young,in couple,,,,43.14045520000001,-2.9389175,"Anuncibai Kalea, 3, 01400 Laudio, Araba, España",4.5,N/A
4307,Ermita de la Virgen de la Soledad,history_freak,,,,historic_building,"Carretera GI-3720, entre Beizama y Tolosa",20739.0,43.13313743845234,-2.197090685427832,Euskadi,Beizama,old,in couple,,,,40.46776310000001,-3.5819493,"28042 Madrid, España",4.1,N/A
4308,Torre de Aranguren,history_freak,,,,historic_building,Barrio de Aranguren,48410.0,43.09689211034005,-2.869287785180656,Euskadi,Orozko,young,in couple,430968509.0,-28694407.0,"Aranguren Auzoa, 11, 48419 Orozko, Bizkaia, Spain",43.0968441,-2.869451,"Aranguren Auzoa, 11, 48419 Orozko, Bizkaia, España",4.7,N/A
4309,Iglesia de San Pedro de Murueta,curious,,,,religious,Barrio de Murueta,48410.0,43.12588775126705,-2.93045629470519,Euskadi,Orozko,adult,in groups,431258627.0,-29304227.0,"48410 Murueta, Bizkaia, Spain",43.1258947,-2.9304199,"48410 Murueta, Biscay, España",5,N/A
4310,Iglesia de San Bartolomé de Olarte,curious,,,,religious,Barrio de Olarte-Ibarra,48410.0,43.09701490834857,-2.862639421639421,Euskadi,Orozko,young,alone,,,,43.0969418,-2.8625958,"Lugar Barrio Ibarra, 9 48419, 48419, Biscay, España",4.7,N/A
4311,Parte Vieja de San Sebastián,curious,,,,historic_building,,20003.0,43.32357281958017,-1.98505814749909,Euskadi,Donostia / San Sebastián,adult,alone,433254999.0,-19893762.0,"Old Town, Donostia-San Sebastian, Gipuzkoa, Spain",43.3254999,-1.9893762,"Parte Vieja, San Sebastián, Gipuzkoa, España",N/A,N/A
4312,Casa Azkarate Marutegi (Agirrebeña),history_freak,,,,historic_building,Plaza Ariznoa,20570.0,43.11721943682627,-2.412756031352237,Euskadi,Bergara,old,in couple,431048897.0,-24234368.0,"Ibarra Kalea, 2, 20570 Bergara, Gipuzkoa, Spain",,,,,
