uri;geo_long;geo_lat;clase;rdfs_label;tieneEnlaceSIG;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/37-torre-del-horno;-637.183;394.741;TORRE ;del Horno;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1193 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/38-casa-del-mono-o-de-espadero-pizarro;-637.095;394.739;CASA ;del Mono o de Espadero-Pizarro;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1188 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/39-torre-del-cristo;-636.902;394.735;TORRE ;del Cristo;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1228 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/4-monumento-muralla-arabe-sur;-637.077;39.472;MONUMENTO ;Muralla Arabe Sur;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2102 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/40-arco-del-cristo;-636.915;394.735;ARCO ;del Cristo;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1227 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/41-torre-de-la-puerta-del-concejo;-636.905;394.733;TORRE ;de la Puerta del Concejo;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1212 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/42-torre-de-los-pozos-o-del-gitano;-63.692;394.724;TORRE ;de los Pozos o del Gitano;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1209 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/43-torre-adosada;-636.967;394.723;TORRE ;Adosada;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1210 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/44-torre-albarrana;-636.983;39.472;TORRE ;Albarrana;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1211 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/45-casa-de-los-caballos;-636.975;394.728;CASA ;de los Caballos;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1169 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/46-iglesia-san-francisco-javier;-637.036;394.736;IGLESIA ;San Francisco Javier;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1159 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/47-palacio-de-luisa-de-carvajal;-637.008;394.733;PALACIO ;de Luisa de Carvajal;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1230 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/48-casa-de-ovando-aldana;-637.121;394.737;CASA ;de Ovando Aldana;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1189 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/49-palacio-de-la-generala;-637.163;394.739;PALACIO ;de la Generala;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1192 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/5-iglesia-san-juan;-637.348;394.734;IGLESIA ;San Juan;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1165 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/50-casa-del-aguila;-637.108;394.735;CASA ;del Aguila;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1190 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/51-casa-del-sol-o-de-los-solis;-637.082;394.735;CASA ;del Sol o de los Solis;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1225 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/52-casa-mudejar;-63.716;394.736;CASA ;Mudejar;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1172 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/53-palacio-de-los-condes-de-adanero;-637.177;394.737;PALACIO ;de los Condes de Adanero;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1191 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/54-palacio-de-los-saavedra;-637.144;394.735;PALACIO ;de los Saavedra;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1226 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/55-palacio-de-los-ulloa-roda;-637.154;394.733;PALACIO ;de los Ulloa-Roda;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1198 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/56-palacio-de-los-golfines-de-arriba;-637.198;394.733;PALACIO ;de los Golfines de Arriba;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1197 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/57-torre-de-los-sande;-63.712;394.733;TORRE ;de los Sande;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1199 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/58-iglesia-san-mateo;-637.095;394.732;IGLESIA ;San Mateo;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1157 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/59-palacio-de-las-cigueñas;-637.064;394.732;PALACIO ;de las Cigueñas;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1229 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/6-casa-ovando-espadero;-637.322;394.732;CASA ;Ovando Espadero;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2108 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/60-torre-de-las-cigueñas;-637.076;394.731;TORRE ;de las Cigueñas;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1200 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/61-casa-de-diego-garcia-de-ulloa;-637.153;394.729;CASA ;de Diego Garcia de Ulloa;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1203 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/62-palacio-solar-de-los-ulloa;-637.129;394.727;PALACIO ;Solar de los Ulloa;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1202 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/63-casa-de-los-paredes-saavedra;-637.132;394.726;CASA ;de los Paredes Saavedra;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1205 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/64-palacio-del-comendador-de-alcuescar;-637.174;394.726;PALACIO ;del Comendador de Alcuescar;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1204 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/65-palacio-de-los-ovando-perero;-637.193;394.728;PALACIO ;de los Ovando-Perero;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1224 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/66-palacio-hospital-de-los-caballeros;-637.185;394.723;PALACIO ;Hospital de los Caballeros;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1207 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/67-casa-de-los-sanchez-paredes;-637.147;394.722;CASA ;de los Sanchez Paredes;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1206 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/68-casa-de-pereros;-6.371;394.722;CASA ;de Pereros;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1215 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/69-convento-de-san-pablo;-63.707;394.728;CONVENTO ;de San Pablo;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1158 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/7-torre-de-la-hierba;-63.715;394.746;TORRE ;de la Hierba;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1195 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/70-palacio-de-las-veletas-(aljibe);-637.027;394.728;PALACIO ;de las Veletas (Aljibe);http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1201 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/71-torre-de-aver;-637.261;39.473;TORRE ;de Aver;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1223 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/72-palacio-enfermeria-de-san-antonio;-637.225;394.726;PALACIO ;Enfermeria de San Antonio;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1208 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/73-torre-del-postigo;-637.229;394.737;TORRE ;del Postigo;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1222 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/74-arco-de-santa-ana;-637.216;394.736;ARCO ;de Santa Ana;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2106 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/75-casa-ovando-saavedra;-637.242;394.738;CASA ;Ovando-Saavedra;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2107 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/76-torre-redonda;-637.286;394.723;TORRE ;Redonda;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1219 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/77-ermita-de-la-soledad;-637.206;394.716;ERMITA ;de la Soledad;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1164 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/78-torre-de-merida-oeste;-637.152;394.721;TORRE ;de Merida-Oeste;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1217 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/79-convento-de-santa-clara;-637.164;394.716;CONVENTO ;de Santa Clara;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1162 ;;
