idpoi;title;layer;type;subcategoria;address;postcode;phone;web;description;image_uri;lat;lon;mp3_uri;lang
8942;Rías Gallegas I;restaurantes;60;Restaurante de 1 Tenedor;Real, 51;36202;986442022;http://marisqueriariasgallegas.com/;Tiene capacidad para 88 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res233.jpg;422.380.124.377.267;-872.880.186.206.862;;es-ES
8884;Marisquería Bahía;restaurantes;60;Restaurante de 2 Tenedores;Cánovas del Castillo, 24;36202;986449656;www.marisqueriabahia.com;Tiene capacidad para 520 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res160.jpg;422.400.696.701.568;-872.577.398.131.487;;es-ES
8823;El Mosquito;restaurantes;60;Restaurante de 2 Tenedores;Plaza de la Piedra, 4;36201;986224441;www.elmosquitovigo.com;"Los origenes del ""Restaurante El Mosquito"" se centran en la década de los años treinta con una actividad inicial de ""Taberna marinera"" en la que se ofrecía la ""Taza de ribeiro e la tapa de pescaditos fritos"" como producto principal.";http://www.turismodevigo.org/sites/turismodevigo/files/res082.jpg;422.396.179.993.786;-872.632.358.619.417;;es-ES
8832;El Timón Plaea;restaurantes;60;Restaurante de 2 Tenedores;A Carrasqueira, s/n;36331;986490815;www.restaurantetimonplaea.com;Tiene capacidad para 50 comensales. Permanece cerrado los domingos.;http://www.turismodevigo.org/sites/turismodevigo/files/res093.jpg;422.026.683.457.883;-878.090.677.809.628;;es-ES
8784;Bogavante;restaurantes;60;Restaurante de 1 Tenedor;Pescadería, 4;36875;986227264;;Tiene capacidad para 32 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res033.jpg;422.398.092.639.837;-872.578.398.335.664;;es-ES
8794;O Pescador;restaurantes;60;Restaurante de 1 Tenedor;Ribeira do Berbés, 25 bajo;36202;986223068;www.o-pescador.com;Tiene capacidad para 32 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res044.jpg;422.374.329.104.977;-872.912.510.797.519;;es-ES
