idpoi,title,layer,type,subcategoria,address,postcode,phone,web,description,image_uri,lat,lon,mp3_uri,lang
9084,Mercado del Calvario,compras,28,Mercado local,"Calle Urzaiz, s/n",36205,635410497,,Mercado de abastos local. Venta de productos de alimentación frescos y congelados.,http://www.turismodevigo.org/sites/turismodevigo/files/com054.jpg,42.2312228191032,-8.70426032657133,,es-ES
9085,Mercado de As Travesas,compras,28,Mercado local,"Luis Seoane, s/n",36210,986298145,,Mercado de abastos local. Venta de productos de alimentación frescos y congelados.,http://www.turismodevigo.org/sites/turismodevigo/files/com055.jpg,42.2182073739713,-8.73555275501613,,es-ES
9086,Mercado de Teis,compras,28,Mercado local,"Purificación Saavedra, s/n",36207,986371515,,Mercado de abastos local. Venta de productos de alimentación frescos y congelados.,http://www.turismodevigo.org/sites/turismodevigo/files/com056.jpg,42.2474211557777,-8.70037652287484,,es-ES
9087,Mercado de O Progreso,compras,28,Mercado local,"Calle Progreso, s/n",36202,986113950,www.mercadoprogresovigo.com/,Mercado de abastos local. Venta de productos de alimentación frescos y congelados.,http://www.turismodevigo.org/sites/turismodevigo/files/com057.jpg,42.2355867639564,-8.72265295998575,,es-ES
9088,Mercado de O Berbés,compras,28,Mercado local,"Cánovas del Castillo, s/n",36202,986228584,,Mercado de abastos local. Venta de productos de alimentación frescos y congelados.,http://www.turismodevigo.org/sites/turismodevigo/files/com058.jpg,42.2388176489772,-8.72875047786678,,es-ES
9089,Mercado de Cabral,compras,28,Mercado local,"Avenida del Tranvía, 2",36215,986262362,,Mercado de abastos local. Venta de productos de alimentación frescos y congelados.,http://www.turismodevigo.org/sites/turismodevigo/files/com059.jpg,42.2229890037697,-8.67022716290174,,es-ES
9090,Mercado de A Pedra,compras,28,Mercado local,Calle Teófilo Llorente,36202,,,Venta de prendas de ropa y aparatos electrónicos. En los alrederores es típico disfrutar de una ración de ostras.,http://www.turismodevigo.org/sites/turismodevigo/files/com060.jpg,42.239659213545,-8.72680852297448,,es-ES
9091,Mercado de Bouzas,compras,28,Mercado local,"Calle Covadonga, 1",36208,886126154,,Mercado de abastos local. Venta de productos de alimentación frescos y congelados.,http://www.turismodevigo.org/sites/turismodevigo/files/com061.jpg,42.2250479722501,-8.7522459220335,,es-ES
